stock_code,stock_name,strategy,peak_date,peak_price,buy_date,buy_price,prediction_time
002463.SZ,,latest_peak,20230714,25.21,20270114,7.563,2025-03-26 00:41:12
688036.SH,,latest_peak,20210210,249.0,20240810,74.7,2025-03-26 00:41:20
002236.SZ,,latest_peak,20130329,69.5,20160929,20.849999999999998,2025-03-26 00:49:07
002028.SZ,,latest_peak,20231229,52.04,20270629,15.611999999999998,2025-03-26 00:41:50
300760.SZ,,latest_peak,20210528,484.53,20241128,145.35899999999998,2025-03-26 00:42:55
600584.SH,,latest_peak,20210709,41.93,20250109,12.578999999999999,2025-03-26 00:42:02
002594.SZ,,latest_peak,20220624,351.05,20251224,105.315,2025-03-26 00:43:46
600176.SH,,latest_peak,20150814,32.49,20190214,9.747,2025-03-26 00:50:28
601229.SH,,latest_peak,20170714,26.07,20210114,7.821,2025-03-26 00:45:10
601600.SH,,latest_peak,20210917,9.54,20250317,2.8619999999999997,2025-03-26 00:40:10
600741.SH,,latest_peak,20210108,32.03,20240708,9.609,2025-03-26 00:50:20
600104.SH,,latest_peak,20180928,33.28,20220328,9.984,2025-03-26 00:40:31
600690.SH,,latest_peak,20220107,30.8,20250707,9.24,2025-03-26 00:45:38
600031.SH,,latest_peak,20210210,47.93,20240810,14.379,2025-03-26 00:45:13
600674.SH,,latest_peak,20150612,30.78,20181212,9.234,2025-03-26 00:51:36
000651.SZ,,latest_peak,20210402,62.44,20241002,18.732,2025-03-26 00:43:32
300999.SZ,,latest_peak,20210122,131.99,20240722,39.597,2025-03-26 00:47:28
600570.SH,,latest_peak,20150612,166.17,20181212,49.85099999999999,2025-03-26 00:42:32
603019.SH,,latest_peak,20150522,148.2,20181122,44.459999999999994,2025-03-26 00:45:24
601669.SH,,latest_peak,20150605,16.68,20181205,5.004,2025-03-26 00:41:29
600015.SH,,latest_peak,20150612,17.18,20181212,5.154,2025-03-26 00:41:57
003816.SZ,,latest_peak,20190830,5.18,20230228,1.5539999999999998,2025-03-26 00:51:38
600886.SH,,latest_peak,20231229,13.18,20270629,3.9539999999999997,2025-03-26 00:41:36
601328.SH,,latest_peak,20150710,8.5,20190110,2.55,2025-03-26 00:43:29
601136.SH,,latest_peak,20231020,23.67,20270420,7.101,2025-03-26 00:47:45
601816.SH,,latest_peak,20200710,6.66,20240110,1.998,2025-03-26 00:42:48
300661.SZ,,latest_peak,20220225,343.1,20250825,102.93,2025-03-26 00:51:08
000617.SZ,,latest_peak,20170303,21.77,20200903,6.531,2025-03-26 00:48:35
603833.SH,,latest_peak,20220701,148.71,20260101,44.613,2025-03-26 00:47:43
688111.SH,,latest_peak,20230621,497.5,20261221,149.25,2025-03-26 00:45:00
002311.SZ,,latest_peak,20211224,74.65,20250624,22.395,2025-03-26 00:41:15
600519.SH,,latest_peak,20210604,2251.5,20241204,675.4499999999999,2025-03-26 00:51:42
002142.SZ,,latest_peak,20220408,39.67,20251008,11.901,2025-03-26 00:44:17
300450.SZ,,latest_peak,20150814,188.0,20190214,56.4,2025-03-26 00:50:45
603195.SH,,latest_peak,20210709,226.0,20250109,67.8,2025-03-26 00:47:32
600048.SH,,latest_peak,20221125,16.84,20260525,5.052,2025-03-26 00:39:49
688187.SH,,latest_peak,20211231,82.0,20250630,24.599999999999998,2025-03-26 00:47:41
000776.SZ,,latest_peak,20150605,28.09,20181205,8.427,2025-03-26 00:41:55
601186.SH,,latest_peak,20150605,25.28,20181205,7.584,2025-03-26 00:49:41
601398.SH,,latest_peak,20180202,7.6,20210802,2.28,2025-03-26 00:44:04
000568.SZ,,latest_peak,20210604,279.6,20241204,83.88000000000001,2025-03-26 00:45:02
688012.SH,,latest_peak,20210730,229.89,20250130,68.967,2025-03-26 00:44:38
605117.SH,,latest_peak,20221104,387.0,20260504,116.1,2025-03-26 00:47:11
600809.SH,,latest_peak,20210618,489.06,20241218,146.718,2025-03-26 00:45:40
603392.SH,,latest_peak,20210514,324.9,20241114,97.46999999999998,2025-03-26 00:46:50
002129.SZ,,latest_peak,20220819,53.78,20260219,16.134,2025-03-26 00:51:32
000895.SZ,,latest_peak,20130419,81.0,20161019,24.3,2025-03-26 00:51:03
002180.SZ,,latest_peak,20150612,71.27,20181212,21.380999999999997,2025-03-26 00:50:54
601899.SH,,latest_peak,20231229,12.46,20270629,3.738,2025-03-26 00:43:57
601100.SH,,latest_peak,20210806,111.98,20250206,33.594,2025-03-26 00:41:25
600023.SH,,latest_peak,20150605,13.29,20181205,3.9869999999999997,2025-03-26 00:46:00
000792.SZ,,latest_peak,20210827,42.29,20250227,12.687,2025-03-26 00:40:26
688223.SH,,latest_peak,20230106,16.43,20260706,4.928999999999999,2025-03-26 00:50:30
300316.SZ,,latest_peak,20230630,70.9,20261230,21.27,2025-03-26 00:46:13
603288.SH,,latest_peak,20210210,206.11,20240810,61.833,2025-03-26 00:40:23
002271.SZ,,latest_peak,20220121,52.24,20250721,15.672,2025-03-26 00:46:48
600837.SH,,latest_peak,20150424,28.84,20181024,8.652,2025-03-26 00:45:31
600309.SH,,latest_peak,20210716,124.89,20250116,37.467,2025-03-26 00:43:07
688599.SH,,latest_peak,20230120,71.0,20260720,21.3,2025-03-26 00:47:26
600845.SH,,latest_peak,20150605,87.9,20181205,26.37,2025-03-26 00:50:56
301269.SZ,,latest_peak,20230609,126.25,20261209,37.875,2025-03-26 00:46:39
002648.SZ,,latest_peak,20120511,51.15,20151111,15.344999999999999,2025-03-26 00:49:50
601898.SH,,latest_peak,20220923,11.19,20260323,3.3569999999999998,2025-03-26 00:48:16
601111.SH,,latest_peak,20180223,13.9,20210823,4.17,2025-03-26 00:50:32
601888.SH,,latest_peak,20210528,344.29,20241128,103.287,2025-03-26 00:40:05
600050.SH,,latest_peak,20170825,8.38,20210225,2.5140000000000002,2025-03-26 00:45:36
688126.SH,,latest_peak,20200731,51.3,20240131,15.389999999999999,2025-03-26 00:48:53
000630.SZ,,latest_peak,20130208,19.67,20160808,5.901000000000001,2025-03-26 00:47:01
002050.SZ,,latest_peak,20231229,29.4,20270629,8.819999999999999,2025-03-26 00:40:40
001289.SZ,,latest_peak,20220311,28.35,20250911,8.505,2025-03-26 00:48:00
600362.SH,,latest_peak,20210910,28.58,20250310,8.574,2025-03-26 00:46:02
601668.SH,,latest_peak,20180126,10.67,20210726,3.201,2025-03-26 00:44:19
600372.SH,,latest_peak,20150612,47.13,20181212,14.139000000000001,2025-03-26 00:50:22
601865.SH,,latest_peak,20220311,51.5,20250911,15.45,2025-03-26 00:48:30
000408.SZ,,latest_peak,20220708,37.78,20260108,11.334,2025-03-26 00:48:48
601390.SH,,latest_peak,20150605,22.64,20181205,6.792,2025-03-26 00:39:57
002555.SZ,,latest_peak,20150508,86.38,20181108,25.913999999999998,2025-03-26 00:47:18
600887.SH,,latest_peak,20211224,42.37,20250624,12.710999999999999,2025-03-26 00:44:14
600066.SH,,latest_peak,20150515,32.53,20181115,9.759,2025-03-26 00:50:05
000963.SZ,,latest_peak,20170519,93.58,20201119,28.073999999999998,2025-03-26 00:50:15
601127.SH,,latest_peak,20231215,85.99,20270615,25.796999999999997,2025-03-26 00:45:50
000166.SZ,,latest_peak,20150605,19.15,20181205,5.744999999999999,2025-03-26 00:42:36
002460.SZ,,latest_peak,20211022,167.79,20250422,50.336999999999996,2025-03-26 00:41:17
300433.SZ,,latest_peak,20150522,137.81,20181122,41.342999999999996,2025-03-26 00:41:10
600460.SH,,latest_peak,20211112,67.13,20250512,20.139,2025-03-26 00:51:18
601012.SH,,latest_peak,20210611,109.5,20241211,32.85,2025-03-26 00:45:21
601881.SH,,latest_peak,20230728,14.17,20270128,4.2509999999999994,2025-03-26 00:50:07
001965.SZ,,latest_peak,20171229,13.85,20210629,4.154999999999999,2025-03-26 00:51:01
600188.SH,,latest_peak,20220909,53.92,20260309,16.176,2025-03-26 00:47:16
002049.SZ,,latest_peak,20220812,233.0,20260212,69.89999999999999,2025-03-26 00:41:34
601838.SH,,latest_peak,20221230,15.3,20260630,4.59,2025-03-26 00:41:43
