trade_date,open,high,low,close,vol
20220805,12.08,13.44,11.71,13.37,468617382.0
20220729,13.05,13.16,11.6,12.1,430479046.0
20220722,12.75,13.79,12.12,13.18,216053606.0
20220715,13.11,13.43,12.42,12.73,141819957.0
20220708,14.69,14.73,12.95,13.23,226325052.0
20220701,15.95,16.16,14.2,14.67,202896492.0
20220624,16.5,16.67,15.01,15.89,191852702.0
20220617,16.8,17.31,15.97,16.45,105355574.0
20220610,15.7,17.27,15.7,16.91,163411755.0
20220602,14.64,16.33,14.61,15.9,110456853.0
20220527,14.16,15.14,13.93,14.61,121326411.0
20220520,14.65,15.05,13.82,14.19,116268827.0
20220513,13.11,14.75,13.11,14.6,143698227.0
20220506,12.97,13.59,12.8,13.17,72900891.0
20220429,12.0,13.2,11.05,13.0,215655957.0
20220422,11.61,13.09,11.53,12.28,215755797.0
20220415,12.21,12.22,10.77,11.68,146249495.0
20220408,13.2,13.23,12.07,12.23,74408670.0
20220401,13.44,13.6,13.02,13.28,74101968.0
20220325,13.39,14.58,13.2,13.57,137043622.0
20220318,14.9,14.9,12.26,13.09,228298632.0
20220311,16.09,16.18,14.38,15.13,142929926.0
20220304,16.86,17.87,15.71,16.15,127086792.0
20220225,17.26,18.18,16.92,17.14,123284855.0
20220218,15.72,17.6,15.21,17.19,124831136.0
20220211,17.61,18.26,15.72,15.98,176410570.0
20220128,17.64,18.5,17.0,17.27,128489479.0
20220121,17.05,18.85,16.96,17.69,243198768.0
20220114,15.08,17.24,14.83,17.13,209206308.0
20220107,16.65,16.9,15.15,15.2,150245487.0
20211231,17.19,17.42,16.0,16.58,182735608.0
20211224,14.48,17.49,14.07,17.2,329281487.0
20211217,14.9,16.05,14.26,14.6,169975603.0
20211210,14.86,16.17,14.55,15.05,255044192.0
20211203,14.6,15.39,14.46,14.85,216498401.0
20211126,13.77,16.02,13.74,14.92,424788070.0
20211119,12.82,14.1,12.81,13.87,420391285.0
20211112,11.77,13.46,11.35,12.93,358457965.0
20211105,10.26,12.3,10.26,11.88,369213660.0
20211029,10.2,10.54,9.86,10.24,117847277.0
20211022,11.04,11.08,10.08,10.11,125250182.0
20211015,11.5,11.64,11.06,11.09,49266352.0
20211008,11.38,11.54,11.32,11.47,13653945.0
20210930,11.76,12.05,11.2,11.21,43837991.0
20210924,11.73,12.32,11.55,11.74,45272550.0
20210917,12.3,12.45,11.72,11.82,79033606.0
20210910,11.55,12.51,11.44,12.36,128307331.0
20210903,11.33,11.7,10.94,11.56,99234419.0
20210827,12.22,12.53,11.17,11.38,105050447.0
20210820,12.56,12.73,12.13,12.24,81576725.0
20210813,13.4,13.65,12.51,12.63,155348822.0
20210806,13.1,14.1,13.07,13.52,204710995.0
20210730,12.33,13.75,11.81,13.21,298277515.0
20210723,13.16,13.18,12.35,12.36,145919266.0
20210716,15.86,15.89,13.23,13.27,148383100.0
20210709,14.68,15.84,14.6,15.72,123985856.0
20210702,15.68,15.9,14.7,14.7,90910074.0
20210625,14.71,16.15,14.5,15.73,151470459.0
20210618,15.11,15.23,14.41,14.84,63424456.0
20210611,15.45,15.71,15.06,15.13,87846829.0
20210604,15.34,15.42,14.9,15.26,70870789.0
20210528,14.38,15.47,14.23,15.29,91784589.0
20210521,14.64,15.0,14.38,14.38,52660993.0
20210514,14.28,14.66,14.12,14.63,59120860.0
20210507,14.45,14.45,14.21,14.28,21369252.0
20210430,15.49,15.63,14.4,14.48,78829990.0
20210423,16.15,16.61,15.45,15.49,89876140.0
20210416,16.56,16.58,15.88,16.13,51887825.0
20210409,17.07,17.18,16.52,16.58,47809163.0
20210402,16.9,17.38,16.42,17.06,59656187.0
20210326,16.33,16.94,16.32,16.87,51420308.0
20210319,17.12,17.12,16.31,16.33,63348089.0
20210312,18.31,18.85,17.07,17.17,113818018.0
20210305,17.39,18.54,17.37,18.23,112004763.0
20210226,17.85,18.11,16.63,17.32,84627757.0
20210219,17.35,17.76,17.05,17.75,35770017.0
20210210,16.78,17.11,16.03,16.98,49422918.0
20210205,17.08,18.35,15.88,16.7,142268629.0
20210129,19.0,19.0,16.85,17.16,110992728.0
20210122,19.25,19.95,18.38,19.02,146410888.0
20210115,19.4,20.35,18.92,19.4,182439925.0
20210108,18.78,20.18,18.57,19.31,148311383.0
20201231,18.2,18.89,17.94,18.79,81030728.0
20201225,18.82,19.1,17.89,18.29,98328831.0
20201218,18.83,19.05,18.38,18.77,67188288.0
20201211,20.21,20.75,18.69,18.92,117869825.0
20201204,20.08,21.06,19.7,20.17,170976853.0
20201127,19.29,20.43,19.01,20.12,151946916.0
20201120,20.0,20.1,18.89,19.24,108646542.0
20201113,20.2,20.9,19.42,19.87,188860173.0
20201106,18.46,20.05,17.8,19.77,171316420.0
20201030,18.59,19.03,17.68,18.42,97099198.0
20201023,19.12,19.34,18.52,18.64,75134232.0
20201016,19.63,20.05,18.91,18.96,106354288.0
20201009,19.21,19.54,19.11,19.33,26119116.0
20200930,19.73,19.75,18.64,18.79,59685610.0
20200925,20.1,20.95,19.29,19.39,156179606.0
